"id","name","invoice_label","type_tax_use","amount_type","amount","include_base_amount","is_base_affected","analytic","tax_exigibility","l10n_mx_tax_type","l10n_mx_factor_type","cash_basis_transition_account_id/id","tax_group_id/id","country_id/id","sequence","active","repartition_line_ids/repartition_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id/id","repartition_line_ids/tag_ids/id"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_216_10_020_lmmr","__export__.account_account_tag_21_ae57d5ea"
"marin.account_tax_1036","DSA 5% - 601","DSA5%","Purchases","Percentage of Price","5.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_dsa_lmmg_1039","base.mx","48","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_52_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_52_001_lmmg",""
"marin.account_tax_1037","DSA 5% - 602","DSA5%","Purchases","Percentage of Price","5.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_dsa_lmmg_1039","base.mx","49","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_52_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_52_001_lmmg",""
"marin.account_tax_1038","IEPS 26.5%","IEPS26.5%","Purchases","Percentage of Price","26.5","True","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_26_5_lmmg_1041","base.mx","37","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1039","IEPS 3% telecom 602","IEPS3% telecom","Purchases","Percentage of Price","3.0","","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_3_lmmg_1042","base.mx","2","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_50_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_50_001_lmmg",""
"marin.account_tax_1040","IEPS 53%","IEPS53%","Purchases","Percentage of Price","53.0","True","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_53_lmmg_1044","base.mx","42","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1041","IEPS 8%","IEPS8%","Purchases","Percentage of Price","8.0","","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_8_lmmg_1045","base.mx","29","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1042","IEPS 0%","IEPS0%","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","24","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1043","IEPS 6%","IEPS6%","Purchases","Percentage of Price","6.0","","","","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","25","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1044","IEPS 6%","IEPS6%","Sales","Percentage of Price","6.0","","","True","Based on Payment","IEPS","Tasa","marin.account_209_02_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","26","True","Base","100.0","","__export__.account_account_tag_19_442cdb05"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg","__export__.account_account_tag_18_5529e247"
"marin.account_tax_1045","IEPS 7%","IEPS7%","Purchases","Percentage of Price","7.0","","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","27","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1046","IEPS 7%","IEPS7%","Sales","Percentage of Price","7.0","","","True","Based on Payment","IEPS","Tasa","marin.account_209_02_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","28","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg",""
"marin.account_tax_1047","IEPS 9%","IEPS9%","Purchases","Percentage of Price","9.0","","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","32","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1048","IEPS 9%","IEPS9%","Sales","Percentage of Price","9.0","","","True","Based on Payment","IEPS","Tasa","marin.account_209_02_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","33","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmg",""
"marin.account_tax_1049","IEPS exempt","IEPS exempt","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IEPS","Exento","marin.account_119_03_001_lmmg","marin.tax_group_ieps_pesticides_lmmg_1046","base.mx","23","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmg",""
"marin.account_tax_1050","ISH 2% - 602","ISH2%","Purchases","Percentage of Price","2.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmg_1047","base.mx","44","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"marin.account_tax_1051","ISH 3% - 602","ISH3%","Purchases","Percentage of Price","3.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmg_1047","base.mx","45","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"marin.account_tax_1052","ISH 3.5% - 602","ISH3.5%","Purchases","Percentage of Price","3.5","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmg_1047","base.mx","46","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"marin.account_tax_1053","ISH 4% - 602","ISH4%","Purchases","Percentage of Price","4.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmg_1047","base.mx","47","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmg",""
"marin.account_tax_1054","VAT 0%","VAT(0%)","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_119_01_002_lmmg","marin.tax_group_vat_0_lmmg_1050","base.mx","6","True","Base","100.0","","__export__.account_account_tag_17_c340585c"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1055","VAT 0%","VAT(0%)","Sales","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_209_02_001_lmmg","marin.tax_group_vat_0_lmmg_1050","base.mx","9","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"marin.account_tax_1056","VAT 0% - Non deductible","","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_119_01_002_lmmg","marin.tax_group_vat_0_lmmg_1050","base.mx","7","True","Base","100.0","","__export__.account_account_tag_9_12b8c622"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmg","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1057","VAT 16%","VAT(16%)","Purchases","Percentage of Price","16.0","","True","True","Based on Payment","IVA","Tasa","marin.account_119_01_001_lmmg","marin.tax_group_vat_16_lmmg_1051","base.mx","19","True","Base","100.0","","__export__.account_account_tag_7_6c4b114f"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1058","VAT 16%","VAT(16%)","Sales","Percentage of Price","16.0","","","True","Based on Payment","IVA","Tasa","marin.account_209_01_001_lmmg","marin.tax_group_vat_16_lmmg_1051","base.mx","22","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_01_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_01_001_lmmg",""
"marin.account_tax_1059","VAT 16% non deductible","","Purchases","Percentage of Price","16.0","","True","True","Based on Payment","IVA","Tasa","marin.account_119_01_002_lmmg","marin.tax_group_vat_16_lmmg_1051","base.mx","20","True","Base","100.0","","__export__.account_account_tag_9_12b8c622"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmg","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1060","VAT Exempt","VAT exempt","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IVA","Exento","marin.account_119_01_001_lmmg","marin.tax_group_vat_exempt_lmmg_1053","base.mx","3","True","Base","100.0","","__export__.account_account_tag_19_442cdb05"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmg","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1061","VAT Exempt","VAT exempt","Sales","Percentage of Price","0.0","","","True","Based on Payment","IVA","Exento","marin.account_209_02_001_lmmg","marin.tax_group_vat_exempt_lmmg_1053","base.mx","4","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"marin.account_tax_1062","VAT witholding 4% - freights","'-4%","Purchases","Percentage of Price","-4.0","","True","True","Based on Payment","IVA","Tasa","marin.account_216_10_010_lmmg","marin.tax_group_vat_retention_4_lmmg_1057","base.mx","12","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_216_10_020_lmmg","__export__.account_account_tag_20_2ac55bf0"
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_216_10_020_lmmg","__export__.account_account_tag_21_ae57d5ea"
"marin.account_tax_1063","ISH 4% - 602","ISH(4%)","Purchases","Percentage of Price","4.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_glmm_1104","base.mx","1","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_glmm",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_glmm",""
"marin.account_tax_1064","VAT 0%","VAT(0%)","Purchases","Percentage of Price","0.0","","","","Based on Payment","IVA","Tasa","marin.account_119_01_001_glmm","marin.tax_group_vat_0_glmm_1107","base.mx","1","True","Base","100.0","","__export__.account_account_tag_17_c340585c"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_glmm",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_glmm","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1065","VAT 0%","VAT(0%)","Sales","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_209_01_001_glmm","marin.tax_group_vat_0_glmm_1107","base.mx","1","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"marin.account_tax_1066","VAT 16%","VAT(16%)","Purchases","Percentage of Price","16.0","","True","True","Based on Payment","IVA","Tasa","marin.account_119_01_001_glmm","marin.tax_group_vat_16_glmm_1108","base.mx","1","True","Base","100.0","","__export__.account_account_tag_7_6c4b114f"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_glmm",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_glmm","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1067","VAT 16%","VAT(16%)","Sales","Percentage of Price","16.0","","","True","Based on Payment","IVA","Tasa","marin.account_209_01_001_glmm","marin.tax_group_vat_16_glmm_1108","base.mx","1","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_01_001_glmm",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_01_001_glmm",""
"marin.account_tax_1068","VAT 16.0% non deductible","","Purchases","Percentage of Price","16.0","","True","True","Based on Payment","IVA","Tasa","marin.account_119_01_002_glmm","marin.tax_group_vat_16_glmm_1108","base.mx","1","True","Base","100.0","","__export__.account_account_tag_7_6c4b114f"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_glmm",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_glmm","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1069","VAT Exempt","VAT(exempt)","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IVA","Exento","marin.account_119_01_001_glmm","marin.tax_group_vat_exempt_glmm_1110","base.mx","1","True","Base","100.0","","__export__.account_account_tag_19_442cdb05"
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1070","VAT Exempt","VAT(exempt)","Sales","Percentage of Price","0.0","","","True","Based on Payment","IVA","Exento","marin.account_209_01_001_glmm","marin.tax_group_vat_exempt_glmm_1110","base.mx","1","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
