"id","company_id/id","warehouse_id/id","picking_type_id/id","route_id/id","location_src_id/id","location_dest_id/id","group_propagation_option","active","propagate_cancel","propagate_carrier","action","procure_method","auto","name"
"stock_rule_5001","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_101","xiuman_data.stock_picking_type_1001","stock_route_1066","xiuman_data.stock_location_20","xiuman_data.stock_location_1002","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","MET1: Transito inter-almacen → Stock"
"stock_rule_5002","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1066","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5003","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_101","xiuman_data.stock_picking_type_1002","stock_route_1067","xiuman_data.stock_location_1002","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","MET1: Stock → Transito inter-almacen"
"stock_rule_5004","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1034","stock_route_1067","xiuman_data.stock_location_20","xiuman_data.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5005","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_103","xiuman_data.stock_picking_type_1024","stock_route_1068","xiuman_data.stock_location_1018","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","SJN: Stock → Transito inter-almacen"
"stock_rule_5006","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1034","stock_route_1068","xiuman_data.stock_location_20","xiuman_data.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5007","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_102","xiuman_data.stock_picking_type_1013","stock_route_1069","xiuman_data.stock_location_1010","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","BAL1: Stock → Transito inter-almacen"
"stock_rule_5008","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1034","stock_route_1069","xiuman_data.stock_location_20","xiuman_data.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5009","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_105","xiuman_data.stock_picking_type_1046","stock_route_1070","xiuman_data.stock_location_1034","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","PROVI: Stock → Transito inter-almacen"
"stock_rule_5010","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1034","stock_route_1070","xiuman_data.stock_location_20","xiuman_data.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5011","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_108","xiuman_data.stock_picking_type_1079","stock_route_1071","xiuman_data.stock_location_1058","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","NOR: Stock → Transito inter-almacen"
"stock_rule_5012","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1034","stock_route_1071","xiuman_data.stock_location_20","xiuman_data.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5013","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1036","stock_route_1072","xiuman_data.stock_location_1026","xiuman_data.stock_location_1029","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Output"
"stock_rule_5014","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1072","xiuman_data.stock_location_1029","stock.stock_location_customers","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Salida → Clientes"
"stock_rule_5015","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1073","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5016","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_103","xiuman_data.stock_picking_type_1023","stock_route_1073","xiuman_data.stock_location_20","xiuman_data.stock_location_1018","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","SJN: Transito inter-almacen → Stock"
"stock_rule_5018","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_102","xiuman_data.stock_picking_type_1012","stock_route_1074","xiuman_data.stock_location_20","xiuman_data.stock_location_1010","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","BAL1: Transito inter-almacen → Stock"
"stock_rule_5019","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1075","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5020","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_105","xiuman_data.stock_picking_type_1045","stock_route_1075","xiuman_data.stock_location_20","xiuman_data.stock_location_1034","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","PROVI: Transito inter-almacen → Stock"
"stock_rule_5021","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1076","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5022","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_108","xiuman_data.stock_picking_type_1078","stock_route_1076","xiuman_data.stock_location_20","xiuman_data.stock_location_1058","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","NOR: Transito inter-almacen → Stock"
"stock_rule_5023","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_102","xiuman_data.stock_picking_type_1016","stock_route_1077","xiuman_data.stock_location_1106","xiuman_data.stock_location_1105","Propagate","True","","","Pull From","Take From Stock","Manual Operation","BAL1: Stock → Mostrador"
"stock_rule_5024","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_103","xiuman_data.stock_picking_type_1027","stock_route_1078","xiuman_data.stock_location_1108","xiuman_data.stock_location_1105","Propagate","True","","","Pull From","Take From Stock","Manual Operation","SJN: Stock → Mostrador"
"stock_rule_5170","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1074","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5171","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock.route_warehouse0_mto","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5172","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1079","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5173","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_102","xiuman_data.stock_picking_type_1012","stock_route_1079","xiuman_data.stock_location_20","xiuman_data.stock_location_1010","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","BAL1: Inter-warehouse transit → Stock"
"stock_rule_5174","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock.route_warehouse0_mto","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5175","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1080","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5176","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_101","xiuman_data.stock_picking_type_1001","stock_route_1080","xiuman_data.stock_location_20","xiuman_data.stock_location_1002","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","SNT: Inter-warehouse transit → Stock"
"stock_rule_5177","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock.route_warehouse0_mto","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5178","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","xiuman_data.stock_picking_type_1035","stock_route_1081","xiuman_data.stock_location_1026","xiuman_data.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5179","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_105","xiuman_data.stock_picking_type_1045","stock_route_1081","xiuman_data.stock_location_20","xiuman_data.stock_location_1034","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","PROVI: Inter-warehouse transit → Stock"
